from_stop_id,to_stop_id,transfer_type,min_transfer_time
4211813,2462,2,258
3764967,1827,2,389
3442448,1749,2,284
4472762,1741,2,234
6000769,1969,2,255
4211778,1874,2,291
4037003,1827,2,254
7635615,1662797,2,190
7275550,1724,2,235
7635615,1662798,2,190
3764787,1948,2,181
4473027,2366,2,235
4016028,2202,2,213
4016612,1959,2,244
1820,2358,2,62
4473150,2366,2,389
2359,1819,2,51
5158059,1872,2,321
5762020,2406,2,203
3740306,2406,2,199
6961993,2469,2,226
3740520,1820,2,225
6741427,140079,2,211
6741427,140078,2,211
7714465,2462,2,219
2419,4766827,2,234
2365,1827,2,235
4009617,2366,2,226
3893408,2144,2,210
2224,5121988,2,255
1741,5150147,2,270
3764748,2366,2,387
7161676,1662796,2,192
4036738,2536,2,216
7161676,1662795,2,192
4472784,1662797,2,247
5121382,1827,2,235
4472784,1662798,2,247
3764709,1827,2,225
5762010,1872,2,260
4037004,1827,2,225
4036747,2469,2,226
3740307,1796,2,189
4036661,1724,2,227
4758934,2419,2,234
4015690,1947,2,271
7170677,1827,2,395
4045020,1820,2,244
5355383,1692061,2,201
5355383,1692060,2,201
4473027,1827,2,235
6961983,1741,2,284
3812982,1719,2,207
3813113,1827,2,225
5250729,1872,2,321
5091986,2270,2,192
7336788,1872,2,260
4016799,2202,2,213
4009667,2366,2,431
3716873,2469,2,215
7137425,1888,2,242
5657328,1724,2,108
4016345,2284,2,194
5250729,2268,2,321
4009617,1827,2,226
4037251,1827,2,252
4017007,1692061,2,182
4036722,2202,2,200
4036833,2268,2,260
7176284,1874,2,225
1662797,5121515,2,190
4037207,2025,2,229
4017012,2270,2,291
2365,2366,2,264
6591475,2366,2,254
7714428,1717,2,228
3926187,2366,2,254
7676436,2270,2,198
6741257,140078,2,224
6741257,140079,2,224
2468,2469,2,139
2144,2083,2,106
7627536,2224,2,261
4798986,2462,2,205
4015687,1947,2,213
5138159,1796,2,231
4016090,2268,2,224
5138025,1796,2,231
4472759,1872,2,210
3442453,1879,2,309
4017049,1874,2,187
4045006,2366,2,431
7376291,1724,2,252
7376192,2366,2,252
5018192,2469,2,226
4017007,1692060,2,182
4016616,2214,2,197
5158053,1947,2,200
4017027,1872,2,292
3807589,1928,2,243
4798987,2462,2,210
4472753,1947,2,193
4016025,2268,2,260
7376291,2469,2,252
7137418,1748,2,254
3926221,2406,2,275
7647743,2419,2,203
6591516,1827,2,396
3740516,2469,2,254
4016029,1947,2,191
2359,2358,2,56
3442434,2366,2,395
4758948,2270,2,318
5762015,1947,2,213
2009,4016291,2,212
7336788,2268,2,260
7691417,2268,2,292
7013410,2372,2,193
4037037,2366,2,396
4473148,2366,2,225
1796,4016314,2,203
3926241,1796,2,216
4016113,2268,2,221
7176251,1724,2,226
4472777,1741,2,270
7691394,1748,2,244
3687414,2366,2,432
4036748,2469,2,227
4009619,2366,2,432
3619140,2276,2,214
5121389,2203,2,264
5018185,1888,2,235
6046775,1969,2,210
3687412,1827,2,252
7260975,1716,2,199
3926242,1858,2,267
3749938,2359,2,225
2406,4016314,2,203
3798505,1662797,2,230
1717,4009067,2,197
4016609,1874,2,207
4037279,2406,2,216
3798505,1662798,2,230
5762004,1741,2,270
3764755,2203,2,225
4017012,1874,2,291
4211779,2270,2,188
3442438,2203,2,225
4016356,2406,2,275
6933261,1796,2,273
2406,4016285,2,199
4000547,1716,2,225
1717,4009073,2,213
4016799,1947,2,213
7312151,2224,2,274
4036739,1656,2,201
4016039,2268,2,292
4022948,2293,2,249
4017013,2270,2,256
7676472,2270,2,207
3749691,1724,2,252
7647742,2419,2,213
5121411,1969,2,255
7275664,1827,2,235
1662796,5121480,2,209
1662796,5121481,2,192
3764706,2203,2,225
3687105,1897,2,282
7275664,2366,2,235
3619131,2427,2,244
3764768,2359,2,225
4015727,2202,2,271
3749921,2406,2,250
6456077,1662797,2,202
2276,5121990,2,271
4472758,2268,2,321
6904254,2419,2,270
6456077,1662798,2,202
7137437,2426,2,277
3887778,2366,2,460
5158087,1872,2,260
4016350,2426,2,254
4016359,1724,2,207
3764785,2366,2,387
1662797,6449047,2,218
1741,4766827,2,234
4799004,1717,2,205
4000541,1717,2,228
3749937,2469,2,249
3813156,2366,2,431
4016354,1656,2,189
2276,5121989,2,217
4036728,1872,2,210
3812978,2253,2,210
7691417,1872,2,292
7661329,2270,2,265
4009620,2366,2,460
3887779,2366,2,432
5121381,1827,2,235
1827,5122008,2,233
4211779,1874,2,188
1879,5121991,2,254
3749936,1796,2,216
4036741,2406,2,273
1879,5121992,2,181
2202,4015823,2,188
2202,4015822,2,213
5158083,2469,2,235
1827,5122006,2,241
7260986,140079,2,232
1827,5122007,2,254
3764768,1820,2,225
7260986,140078,2,232
1166840,1724,2,180
2427,5121994,2,220
3749688,1724,2,108
2427,5121995,2,242
3764994,1827,2,370
4045006,1827,2,431
3926186,1827,2,241
2536,4016288,2,216
3716945,2469,2,215
2536,4016287,2,201
3442436,2366,2,260
2025,2083,2,95
5762009,2268,2,321
4016598,1874,2,318
4045025,1796,2,203
6741225,140079,2,250
6741225,140078,2,250
6591474,1827,2,431
3764748,1827,2,387
3442449,1749,2,220
7137419,2426,2,226
4037285,1820,2,212
1662797,6449066,2,190
3887779,1827,2,432
4036833,1872,2,260
7260971,1717,2,222
3813113,2366,2,225
4473150,1827,2,389
3442435,2366,2,225
6961984,2419,2,284
4000543,1717,2,222
7170678,1827,2,395
4016780,2268,2,229
4016608,1874,2,279
4211777,1874,2,318
3749688,2469,2,108
2405,1796,2,119
5121389,1948,2,264
4472758,1872,2,321
4009618,2366,2,396
4726762,1827,2,431
3813156,1827,2,431
4037279,1796,2,216
5158076,2406,2,250
1749,3813513,2,207
5158075,2406,2,273
1749,3813512,2,223
1166841,2469,2,180
